"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Adresse","Strasse","Hausnummer","Postleitzahl","Ort","URL_Zugang","Traegername","Traegerart","POC_Vorname","POC_Nachname","POC_Funktion_Arbeitsschwerpunkt","POC_Telefon_Vorwahl","POC_Telefon_Rufnummer","POC_Telefon_Durchwahl","POC_Fax_Vorwahl","POC_Fax_Rufnummer","POC_Fax_Durchwahl","POC_Email","year"
"DIAKO Klinikum","2023-01-18","260100023","773287000","99","Knuthstr., 1, 24939, Flensburg","Knuthstr.","1","24939","Flensburg","https://www.diako-krankenhaus.de/","DIAKO Krankenhaus gGmbH","freigemeinnützig","Stephan","Jatzkowski","Risiko- und Qualitätsmanager","0461","812","2127","0461","812","2129","jatzkowskist@diako.de",2021
"Malteser Krankenhaus St. Franziskus-Hospital","2022-11-03","260100034","771320000","01","Waldstraße, 17, 24939, Flensburg","Waldstraße","17","24939","Flensburg","http://www.malteser-franziskus.de/","Malteser Norddeutschland gGmbH","freigemeinnützig","Klaus","Deitmaring","Geschäftsführer","0461","816","2212","0461","816","2012","Klaus.Deitmaring@malteser.org",2021
"Malteser Krankenhaus St. Franziskus-Hospital - Geriatrische Tagesklinik","2022-11-01","260100034","771321000","02","Am Damm, 1, 24837, Schleswig","Am Damm","1","24837","Schleswig","http://www.malteser-franziskus.de/medizin-pflege/klinik-fuer-geriatrie-fruehrehabilitation/geriatrische-tagesklinik-in-schleswig.html","Malteser Norddeutschland gGmbH","freigemeinnützig","Klaus","Deitmaring","Geschäftsführer","0461","816","2212","0461","816","2012","Klaus.Deitmaring@malteser.org",2021
"Park-Klinik GmbH","2022-11-15","260100147","773063000","00","Goethestrasse, 11, 24116, Kiel","Goethestrasse","11","24116","Kiel","http://www.park-klinik.de","Park-Klinik GmbH","privat","Joachim","Bauer","Geschäftsführer","0431","5909","0","0431","5909","111","j.bauer@park-klinik.de",2021
"Sankt Elisabeth Krankenhaus Kiel","2023-02-21","260100170","771993000","02","Königsweg, 8, 24103, Kiel","Königsweg","8","24103","Kiel","https://www.lubinus-stiftung.de","Lubinus-Stiftung","freigemeinnützig","Silke","Mühle-Peters","Stabsstelle QM","0431","388","82235","0431","388","81290","s.muehle-peters@lubinus-stiftung.de",2021
"Lubinus Clinicum","2023-02-21","260100170","771994000","01","Steenbeker Weg, 25, 24106, Kiel","Steenbeker Weg","25","24106","Kiel","https://www.lubinus-stiftung.de","Lubinus-Stiftung","freigemeinnützig","Silke ","Mühle-Peters","Stabsstelle QM","0431","388","82235","0431","388","81290","s.muehle-peters@lubinus-stiftung.de",2021
"Klinik Flechsig GmbH","2022-11-10","260100238","771062000","00","Chemnitzstraße, 33, 24116, Kiel","Chemnitzstraße","33","24116","Kiel","https://klinik-flechsig.de/","Klinik Flechsig GmbH","privat","Katharina","Korban","Verwaltungsleitung","0431","66940910",NA,"0431","66940958",NA,"k.korban@klinik-flechsig.de",2021
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH","2023-02-20","260100272","772245000","00","Parade , 3, 23552, Lübeck","Parade ","3","23552","Lübeck","https://www.marien-krankenhaus.de/","ANSGAR-Gruppe","freigemeinnützig","Andrea","Hasenjäger","Qualitätsmanagerin","0451","1407","7151","0451","1407","100","hasenjaeger@marien-krankenhaus.de",2021
"DRK-Fachklinik Hahnknüll gGmbH","2022-11-14","260100318","772648000","00","Hahnknüll, 58, 24537, Neumünster","Hahnknüll","58","24537","Neumünster","https://drk-nms.de","DRK-Fachklinik Hahnknüll gGmbH","freigemeinnützig","Petra","Gustafson","Verwaltungsleitung","04321","905","102","04321","905","239","petra.gustafson@drk-nms.de",2021
"Johanniter-Krankenhaus Geesthacht GmbH","2023-02-23","260100432","772342000","01","Am Runden Berge, 3, 21502, Geesthacht","Am Runden Berge","3","21502","Geesthacht","http://www.johanniter-krankenhaus.de","Johanniter-Krankenhaus Geesthacht GmbH","freigemeinnützig","C.","Wagner","Erstellung Qualitätsbericht","04152","171","406","04152","171","421","corinna.wagner@joga.johanniter.de",2021
